claim_id,instance_id,shots,sim_seed,delta,p1_expected_cut,p2_expected_cut,margin,preserves_direction
L2-C1,er_n8_p0.2_seed0,1024,0,0.0,0.0009765625,0.51171875,0.5107421875,1
L2-C2,er_n8_p0.2_seed0,1024,0,0.01,0.0009765625,0.51171875,0.5107421875,1
L2-C3,er_n8_p0.2_seed0,1024,0,0.05,0.0009765625,0.51171875,0.5107421875,1
L2-C1,er_n8_p0.2_seed0,1024,1,0.0,0.0009765625,0.5107421875,0.509765625,1
L2-C2,er_n8_p0.2_seed0,1024,1,0.01,0.0009765625,0.5107421875,0.509765625,1
L2-C3,er_n8_p0.2_seed0,1024,1,0.05,0.0009765625,0.5107421875,0.509765625,1
L2-C1,er_n8_p0.2_seed0,1024,2,0.0,0.0009765625,0.5234375,0.5224609375,1
L2-C2,er_n8_p0.2_seed0,1024,2,0.01,0.0009765625,0.5234375,0.5224609375,1
L2-C3,er_n8_p0.2_seed0,1024,2,0.05,0.0009765625,0.5234375,0.5224609375,1
L2-C1,er_n8_p0.2_seed0,1024,3,0.0,0.0,0.51953125,0.51953125,1
L2-C2,er_n8_p0.2_seed0,1024,3,0.01,0.0,0.51953125,0.51953125,1
L2-C3,er_n8_p0.2_seed0,1024,3,0.05,0.0,0.51953125,0.51953125,1
L2-C1,er_n8_p0.2_seed0,1024,4,0.0,0.0,0.5244140625,0.5244140625,1
L2-C2,er_n8_p0.2_seed0,1024,4,0.01,0.0,0.5244140625,0.5244140625,1
L2-C3,er_n8_p0.2_seed0,1024,4,0.05,0.0,0.5244140625,0.5244140625,1
L2-C1,er_n8_p0.2_seed0,1024,5,0.0,0.0,0.515625,0.515625,1
L2-C2,er_n8_p0.2_seed0,1024,5,0.01,0.0,0.515625,0.515625,1
L2-C3,er_n8_p0.2_seed0,1024,5,0.05,0.0,0.515625,0.515625,1
L2-C1,er_n8_p0.2_seed0,1024,6,0.0,0.0,0.55859375,0.55859375,1
L2-C2,er_n8_p0.2_seed0,1024,6,0.01,0.0,0.55859375,0.55859375,1
L2-C3,er_n8_p0.2_seed0,1024,6,0.05,0.0,0.55859375,0.55859375,1
L2-C1,er_n8_p0.2_seed0,1024,7,0.0,0.0,0.5166015625,0.5166015625,1
L2-C2,er_n8_p0.2_seed0,1024,7,0.01,0.0,0.5166015625,0.5166015625,1
L2-C3,er_n8_p0.2_seed0,1024,7,0.05,0.0,0.5166015625,0.5166015625,1
L2-C1,er_n8_p0.2_seed0,1024,8,0.0,0.0009765625,0.5263671875,0.525390625,1
L2-C2,er_n8_p0.2_seed0,1024,8,0.01,0.0009765625,0.5263671875,0.525390625,1
L2-C3,er_n8_p0.2_seed0,1024,8,0.05,0.0009765625,0.5263671875,0.525390625,1
L2-C1,er_n8_p0.2_seed0,1024,9,0.0,0.0,0.5078125,0.5078125,1
L2-C2,er_n8_p0.2_seed0,1024,9,0.01,0.0,0.5078125,0.5078125,1
L2-C3,er_n8_p0.2_seed0,1024,9,0.05,0.0,0.5078125,0.5078125,1
L2-C1,er_n8_p0.2_seed0,4096,0,0.0,0.000244140625,0.530029296875,0.52978515625,1
L2-C2,er_n8_p0.2_seed0,4096,0,0.01,0.000244140625,0.530029296875,0.52978515625,1
L2-C3,er_n8_p0.2_seed0,4096,0,0.05,0.000244140625,0.530029296875,0.52978515625,1
L2-C1,er_n8_p0.2_seed0,4096,1,0.0,0.0009765625,0.517822265625,0.516845703125,1
L2-C2,er_n8_p0.2_seed0,4096,1,0.01,0.0009765625,0.517822265625,0.516845703125,1
L2-C3,er_n8_p0.2_seed0,4096,1,0.05,0.0009765625,0.517822265625,0.516845703125,1
L2-C1,er_n8_p0.2_seed0,4096,2,0.0,0.000732421875,0.532470703125,0.53173828125,1
L2-C2,er_n8_p0.2_seed0,4096,2,0.01,0.000732421875,0.532470703125,0.53173828125,1
L2-C3,er_n8_p0.2_seed0,4096,2,0.05,0.000732421875,0.532470703125,0.53173828125,1
L2-C1,er_n8_p0.2_seed0,4096,3,0.0,0.000732421875,0.53369140625,0.532958984375,1
L2-C2,er_n8_p0.2_seed0,4096,3,0.01,0.000732421875,0.53369140625,0.532958984375,1
L2-C3,er_n8_p0.2_seed0,4096,3,0.05,0.000732421875,0.53369140625,0.532958984375,1
L2-C1,er_n8_p0.2_seed0,4096,4,0.0,0.000244140625,0.524658203125,0.5244140625,1
L2-C2,er_n8_p0.2_seed0,4096,4,0.01,0.000244140625,0.524658203125,0.5244140625,1
L2-C3,er_n8_p0.2_seed0,4096,4,0.05,0.000244140625,0.524658203125,0.5244140625,1
L2-C1,er_n8_p0.2_seed0,4096,5,0.0,0.00048828125,0.530517578125,0.530029296875,1
L2-C2,er_n8_p0.2_seed0,4096,5,0.01,0.00048828125,0.530517578125,0.530029296875,1
L2-C3,er_n8_p0.2_seed0,4096,5,0.05,0.00048828125,0.530517578125,0.530029296875,1
L2-C1,er_n8_p0.2_seed0,4096,6,0.0,0.000244140625,0.53955078125,0.539306640625,1
L2-C2,er_n8_p0.2_seed0,4096,6,0.01,0.000244140625,0.53955078125,0.539306640625,1
L2-C3,er_n8_p0.2_seed0,4096,6,0.05,0.000244140625,0.53955078125,0.539306640625,1
L2-C1,er_n8_p0.2_seed0,4096,7,0.0,0.0,0.52978515625,0.52978515625,1
L2-C2,er_n8_p0.2_seed0,4096,7,0.01,0.0,0.52978515625,0.52978515625,1
L2-C3,er_n8_p0.2_seed0,4096,7,0.05,0.0,0.52978515625,0.52978515625,1
L2-C1,er_n8_p0.2_seed0,4096,8,0.0,0.00048828125,0.532470703125,0.531982421875,1
L2-C2,er_n8_p0.2_seed0,4096,8,0.01,0.00048828125,0.532470703125,0.531982421875,1
L2-C3,er_n8_p0.2_seed0,4096,8,0.05,0.00048828125,0.532470703125,0.531982421875,1
L2-C1,er_n8_p0.2_seed0,4096,9,0.0,0.000732421875,0.521484375,0.520751953125,1
L2-C2,er_n8_p0.2_seed0,4096,9,0.01,0.000732421875,0.521484375,0.520751953125,1
L2-C3,er_n8_p0.2_seed0,4096,9,0.05,0.000732421875,0.521484375,0.520751953125,1
L2-C1,er_n8_p0.2_seed1,128,0,0.0,2.21875,2.7421875,0.5234375,1
L2-C2,er_n8_p0.2_seed1,128,0,0.01,2.21875,2.7421875,0.5234375,1
L2-C3,er_n8_p0.2_seed1,128,0,0.05,2.21875,2.7421875,0.5234375,1
L2-C1,er_n8_p0.2_seed1,128,1,0.0,2.2734375,2.7265625,0.453125,1
L2-C2,er_n8_p0.2_seed1,128,1,0.01,2.2734375,2.7265625,0.453125,1
L2-C3,er_n8_p0.2_seed1,128,1,0.05,2.2734375,2.7265625,0.453125,1
L2-C1,er_n8_p0.2_seed1,128,2,0.0,2.2734375,2.734375,0.4609375,1
L2-C2,er_n8_p0.2_seed1,128,2,0.01,2.2734375,2.734375,0.4609375,1
L2-C3,er_n8_p0.2_seed1,128,2,0.05,2.2734375,2.734375,0.4609375,1
L2-C1,er_n8_p0.2_seed1,128,3,0.0,1.9140625,2.6796875,0.765625,1
L2-C2,er_n8_p0.2_seed1,128,3,0.01,1.9140625,2.6796875,0.765625,1
L2-C3,er_n8_p0.2_seed1,128,3,0.05,1.9140625,2.6796875,0.765625,1
L2-C1,er_n8_p0.2_seed1,128,4,0.0,2.140625,2.859375,0.71875,1
L2-C2,er_n8_p0.2_seed1,128,4,0.01,2.140625,2.859375,0.71875,1
L2-C3,er_n8_p0.2_seed1,128,4,0.05,2.140625,2.859375,0.71875,1
L2-C1,er_n8_p0.2_seed1,128,5,0.0,2.5390625,2.6875,0.1484375,1
L2-C2,er_n8_p0.2_seed1,128,5,0.01,2.5390625,2.6875,0.1484375,1
L2-C3,er_n8_p0.2_seed1,128,5,0.05,2.5390625,2.6875,0.1484375,1
L2-C1,er_n8_p0.2_seed1,128,6,0.0,2.265625,2.6015625,0.3359375,1
L2-C2,er_n8_p0.2_seed1,128,6,0.01,2.265625,2.6015625,0.3359375,1
L2-C3,er_n8_p0.2_seed1,128,6,0.05,2.265625,2.6015625,0.3359375,1
L2-C1,er_n8_p0.2_seed1,128,7,0.0,2.140625,2.734375,0.59375,1
L2-C2,er_n8_p0.2_seed1,128,7,0.01,2.140625,2.734375,0.59375,1
