claim_id,instance_id,topology,basis_regime,transpiler_seed,delta,A_two_qubit_count,B_two_qubit_count,A_depth,B_depth,A_two_qubit_depth,B_two_qubit_depth,margin,preserves_direction
L1Q-C1,ghz_n6,linear,rz_sx_cx,2,0.0,5,5,9,9,5,5,0,0
L1Q-C2,ghz_n6,linear,rz_sx_cx,2,0.0,5,5,9,9,5,5,0,0
L1Q-C3,ghz_n6,linear,rz_sx_cx,2,0.0,5,5,9,9,5,5,0,0
L1Q-C1,ghz_n6,linear,rz_sx_cx,3,0.0,5,5,9,9,5,5,0,0
L1Q-C2,ghz_n6,linear,rz_sx_cx,3,0.0,5,5,9,9,5,5,0,0
L1Q-C3,ghz_n6,linear,rz_sx_cx,3,0.0,5,5,9,9,5,5,0,0
L1Q-C1,ghz_n6,linear,rz_sx_cx,4,0.0,5,5,9,9,5,5,0,0
L1Q-C2,ghz_n6,linear,rz_sx_cx,4,0.0,5,5,9,9,5,5,0,0
L1Q-C3,ghz_n6,linear,rz_sx_cx,4,0.0,5,5,9,9,5,5,0,0
L1Q-C1,ghz_n6,linear,rz_sx_cx,5,0.0,5,5,9,9,5,5,0,0
L1Q-C2,ghz_n6,linear,rz_sx_cx,5,0.0,5,5,9,9,5,5,0,0
L1Q-C3,ghz_n6,linear,rz_sx_cx,5,0.0,5,5,9,9,5,5,0,0
