claim_id,instance_id,l1_regime,shots,sim_seed,noise_regime,delta,p1_expected_cut,p2_expected_cut,margin,preserves_direction
COMB-C3,er_n10_p0.2_seed0,default-low,1024,2,ideal,0.05,1.009765625,0.736328125,-0.2734375,0
COMB-C1,er_n10_p0.2_seed0,default-low,1024,2,depol-medium,0.0,1.0322265625,0.7890625,-0.2431640625,0
COMB-C2,er_n10_p0.2_seed0,default-low,1024,2,depol-medium,0.01,1.0322265625,0.7890625,-0.2431640625,0
COMB-C3,er_n10_p0.2_seed0,default-low,1024,2,depol-medium,0.05,1.0322265625,0.7890625,-0.2431640625,0
COMB-C1,er_n10_p0.2_seed0,default-low,1024,2,depol-high,0.0,1.07421875,0.9287109375,-0.1455078125,0
COMB-C2,er_n10_p0.2_seed0,default-low,1024,2,depol-high,0.01,1.07421875,0.9287109375,-0.1455078125,0
COMB-C3,er_n10_p0.2_seed0,default-low,1024,2,depol-high,0.05,1.07421875,0.9287109375,-0.1455078125,0
COMB-C1,er_n10_p0.2_seed0,sabre-mid,512,0,ideal,0.0,1.06640625,0.77734375,-0.2890625,0
COMB-C2,er_n10_p0.2_seed0,sabre-mid,512,0,ideal,0.01,1.06640625,0.77734375,-0.2890625,0
COMB-C3,er_n10_p0.2_seed0,sabre-mid,512,0,ideal,0.05,1.06640625,0.77734375,-0.2890625,0
COMB-C1,er_n10_p0.2_seed0,sabre-mid,512,0,depol-medium,0.0,1.09375,0.880859375,-0.212890625,0
COMB-C2,er_n10_p0.2_seed0,sabre-mid,512,0,depol-medium,0.01,1.09375,0.880859375,-0.212890625,0
COMB-C3,er_n10_p0.2_seed0,sabre-mid,512,0,depol-medium,0.05,1.09375,0.880859375,-0.212890625,0
COMB-C1,er_n10_p0.2_seed0,sabre-mid,512,0,depol-high,0.0,1.138671875,0.97265625,-0.166015625,0
COMB-C2,er_n10_p0.2_seed0,sabre-mid,512,0,depol-high,0.01,1.138671875,0.97265625,-0.166015625,0
COMB-C3,er_n10_p0.2_seed0,sabre-mid,512,0,depol-high,0.05,1.138671875,0.97265625,-0.166015625,0
COMB-C1,er_n10_p0.2_seed0,sabre-mid,512,1,ideal,0.0,1.015625,0.767578125,-0.248046875,0
COMB-C2,er_n10_p0.2_seed0,sabre-mid,512,1,ideal,0.01,1.015625,0.767578125,-0.248046875,0
COMB-C3,er_n10_p0.2_seed0,sabre-mid,512,1,ideal,0.05,1.015625,0.767578125,-0.248046875,0
COMB-C1,er_n10_p0.2_seed0,sabre-mid,512,1,depol-medium,0.0,1.09375,0.880859375,-0.212890625,0
COMB-C2,er_n10_p0.2_seed0,sabre-mid,512,1,depol-medium,0.01,1.09375,0.880859375,-0.212890625,0
COMB-C3,er_n10_p0.2_seed0,sabre-mid,512,1,depol-medium,0.05,1.09375,0.880859375,-0.212890625,0
COMB-C1,er_n10_p0.2_seed0,sabre-mid,512,1,depol-high,0.0,1.138671875,0.97265625,-0.166015625,0
COMB-C2,er_n10_p0.2_seed0,sabre-mid,512,1,depol-high,0.01,1.138671875,0.97265625,-0.166015625,0
COMB-C3,er_n10_p0.2_seed0,sabre-mid,512,1,depol-high,0.05,1.138671875,0.97265625,-0.166015625,0
COMB-C1,er_n10_p0.2_seed0,sabre-mid,512,2,ideal,0.0,0.974609375,0.697265625,-0.27734375,0
