claim_id,scope_perturbation,L1_perturbation,L2_perturbation,L3_perturbation,alg_stochasticity,excluded_perturbations
ext_2202_14025v1_legacy_claim12,"circuit_size: 4, 6, 8, 10","qiskit_optimization_level: 0, 1, 2, 3","repetition: 0, 1, 2, 3, 4",none recorded,none recorded,live hardware execution; unsupported larger artifact/problem regimes
ext_2411_00518v2_claim1,"instance: 16 values (n_10_c_1023_g_3_f_0.3_eps_0_s_50, n_11_c_1023_g_3_f_0.3_eps_0_s_50, n_12_c_1023_g_3_f_0.3_eps_0_s_50, n_13_c_1023_g_3_f_0.3_eps_0_s_50, n_14_c_1023_g_3_f_0.3_eps_0_s_50, n_15_c_1023_g_4_f_0.3_eps_0_s_50, ...); n_items: 16 values (5, 6, 7, 8, 9, 10, ...)",none recorded,none recorded,none recorded,"optimizer: powell; qtg_depth: 1; copula_depth: 1, 2, 3, 4, 5",live hardware execution; unsupported larger artifact/problem regimes
ext_2304_08814v2_claim5,"circuit: linear_3_remote_cx, linear_4_bidirectional_mix, linear_4_crossing_ladder, linear_4_repeated_remote","qiskit_optimization_level: 0, 1, 2, 3; qiskit_seed: 0, 1, 2, 3, 4",none recorded,"architecture_edges: [(0, 1), (1, 2), (2, 3)]",none recorded,live hardware execution; unsupported larger artifact/problem regimes
ext_2411_00518v2_claim3,"instance: n_10_c_1023_g_3_f_0.3_eps_0_s_50, n_6_c_1023_g_1_f_0.3_eps_0_s_50, n_7_c_1023_g_2_f_0.3_eps_0_s_50, n_8_c_1023_g_2_f_0.3_eps_0_s_50, n_9_c_1023_g_2_f_0.3_eps_0_s_50; n_items: 6, 7, 8, 9, 10",none recorded,none recorded,none recorded,"optimizer: bfgs, powell; qtg_depth: 1; copula_depth: 8 values (1, 2, 3, 4, 5, 6, ...)",live hardware execution; unsupported larger artifact/problem regimes
ext_2409_08844v2_claim4,"circuit: linear_3_remote_cx, linear_4_bidirectional_mix, linear_4_crossing_ladder, linear_4_repeated_remote","qiskit_optimization_level: 0, 1, 2, 3; qiskit_seed: 0, 1, 2, 3, 4",none recorded,"architecture_edges: [(0, 1), (1, 2), (2, 3)]",none recorded,live hardware execution; unsupported larger artifact/problem regimes
ext_2202_14025v1_legacy_claim6,n_qubits: 10,"qiskit_optimization_level: 0, 1, 2, 3; random_seed: 20 values (0, 1, 2, 3, 4, 5, ...)",none recorded,"removed_edges: [(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",none recorded,live hardware execution; unsupported larger artifact/problem regimes
ext_2409_08844v2_claim3,"circuit: linear_3_remote_cx, linear_4_bidirectional_mix, linear_4_crossing_ladder, linear_4_repeated_remote","qiskit_optimization_level: 0, 1, 2, 3; qiskit_seed: 0, 1, 2, 3, 4",none recorded,"architecture_edges: [(0, 1), (1, 2), (2, 3)]",none recorded,live hardware execution; unsupported larger artifact/problem regimes
ext_2409_08844v2_claim1,"circuit_size: 4, 6, 8, 10",none recorded,"repetition: 20 values (0, 1, 2, 3, 4, 5, ...)",none recorded,none recorded,live hardware execution; unsupported larger artifact/problem regimes
