claim_id,instance_id,optimizer,init_seed,delta,p1_best_expected_cut,p2_best_expected_cut,p1_n_evals,p2_n_evals,margin,preserves_direction
ALGO-C3,er_n8_p0.2_seed0,Nelder-Mead,2,0.05,0.9999999117292762,0.9998887104407992,45,55,-0.00011120128847696975,0
ALGO-C1,er_n8_p0.2_seed0,Nelder-Mead,3,0.0,0.9999982769792093,0.9999462054711757,59,53,-5.207150803354654e-05,0
ALGO-C2,er_n8_p0.2_seed0,Nelder-Mead,3,0.01,0.9999982769792093,0.9999462054711757,59,53,-5.207150803354654e-05,0
ALGO-C3,er_n8_p0.2_seed0,Nelder-Mead,3,0.05,0.9999982769792093,0.9999462054711757,59,53,-5.207150803354654e-05,0
ALGO-C1,er_n8_p0.2_seed0,Nelder-Mead,4,0.0,0.9999997791873627,0.9995776311498047,44,54,-0.0004221480375580233,0
ALGO-C2,er_n8_p0.2_seed0,Nelder-Mead,4,0.01,0.9999997791873627,0.9995776311498047,44,54,-0.0004221480375580233,0
ALGO-C3,er_n8_p0.2_seed0,Nelder-Mead,4,0.05,0.9999997791873627,0.9995776311498047,44,54,-0.0004221480375580233,0
ALGO-C1,er_n8_p0.2_seed0,Nelder-Mead,5,0.0,0.9999999180887362,0.9999175651375538,55,52,-8.235295118241837e-05,0
ALGO-C2,er_n8_p0.2_seed0,Nelder-Mead,5,0.01,0.9999999180887362,0.9999175651375538,55,52,-8.235295118241837e-05,0
ALGO-C3,er_n8_p0.2_seed0,Nelder-Mead,5,0.05,0.9999999180887362,0.9999175651375538,55,52,-8.235295118241837e-05,0
ALGO-C1,er_n8_p0.2_seed0,Nelder-Mead,6,0.0,0.999999871795068,0.9987928658719029,58,51,-0.0012070059231651387,0
ALGO-C2,er_n8_p0.2_seed0,Nelder-Mead,6,0.01,0.999999871795068,0.9987928658719029,58,51,-0.0012070059231651387,0
