record_id,primary_verdict,threshold_status,cluster_status,leave_one_cluster_status,tie_status,budget_status,overall_interpretation
EX-C1,Sustained,threshold-sensitive (flips at tau=0.99),cluster-stable,leave-one-cluster-out sensitive,tie-stable,budget-unavailable,"Sustained under the locked primary rule, but not robust on all axes; verdict softens at tau=0.99 (finite-N: interval cannot reach the stricter boundary)."
EX-C2,Sustained,threshold-sensitive (flips at tau=0.99),not-available (per-cell measurement trace for this record is not materialized in the artifact; only the locked aggregate (N=80 k=80) is available),not-available (no per-cell data),tie-stable (0 ties),budget-unavailable,"Sustained under the locked primary rule, but not robust on all axes; verdict softens at tau=0.99 (finite-N: interval cannot reach the stricter boundary); dependence checks not assessable (no per-cell data)."
EX-C3,Unresolved,threshold-stable,cluster-sensitive,leave-one-cluster-out stable,tie-stable,budget-stable,"Unresolved under the locked primary rule, but not robust on all axes."
EX-C4,Unresolved,threshold-stable,not-available (per-cell measurement trace for this record is not materialized in the artifact; only the locked aggregate (N=80 k=45) is available; the tie/contradiction split among the 35 non-preserved cells is not recoverable),not-available (no per-cell data),not-available (no per-cell data),budget-unavailable,"Unresolved under the locked primary rule, but not robust on all axes; dependence checks not assessable (no per-cell data)."
EX-C5,Unresolved,threshold-stable,cluster-stable,leave-one-cluster-out stable,tie-stable,budget-stable,Unresolved is stable across all applicable checks.
EX-C6,Unresolved,threshold-stable,cluster-stable,leave-one-cluster-out stable,tie-stable,budget-stable,Unresolved is stable across all applicable checks.
EX-C7,Reversed,threshold-sensitive (flips at tau=0.99),cluster-stable,leave-one-cluster-out sensitive,"tie-sensitive (ties_excluded,ties_half_preserving)",budget-stable,"Reversed under the locked primary rule, but not robust on all axes; verdict softens at tau=0.99 (finite-N: interval cannot reach the stricter boundary); verdict depends on tie policy."
EX-C8,Reversed,threshold-sensitive (flips at tau=0.99),cluster-stable,leave-one-cluster-out sensitive,tie-stable,budget-unavailable,"Reversed under the locked primary rule, but not robust on all axes; verdict softens at tau=0.99 (finite-N: interval cannot reach the stricter boundary)."
