claim_id,accepted,specifiable_relation_schema,scalar_directional,planning_feasible,scalar_oriented_planning,perturbation_audit_candidate,verification_only,materialized_rq2,tier,notes
ext_2209_02669v3_claim1,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2209_02669v3_claim2,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2309_16796v3_claim1,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2309_16796v3_claim2,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2309_16796v3_claim3,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2206_09938v2_claim1,true,false,false,false,false,false,false,false,,
ext_2206_09938v2_claim2,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2308_01789v1_claim1,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2308_01789v1_claim2,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2308_01789v1_claim3,true,false,false,false,false,false,false,false,,
ext_2206_06684v1_claim1,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2206_06684v1_claim2,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2405_11917v2_claim1,true,false,false,false,false,false,false,false,,
ext_2405_11917v2_claim3,true,false,false,false,false,false,false,false,,
ext_2405_11917v2_claim4,true,false,false,false,false,false,false,false,,
ext_2405_11917v2_claim5,true,false,false,false,false,false,false,false,,
ext_2305_03390v1_claim1,true,false,false,false,false,false,false,false,,
ext_2305_03390v1_claim2,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2305_03390v1_claim4,true,false,false,false,false,false,false,false,,
ext_2201_06457v1_claim1,true,false,false,false,false,false,false,false,,
ext_2201_06457v1_claim3,true,false,false,false,false,false,false,false,,
ext_2404_17242v2_claim1,true,false,false,false,false,false,false,false,,
ext_2404_17242v2_claim2,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2404_17242v2_claim3,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2404_17242v2_claim4,true,false,false,false,false,false,false,false,,
ext_2404_17242v2_claim5,true,false,false,false,false,false,false,false,,
ext_2404_17242v2_claim6,true,false,false,false,false,false,false,false,,
ext_2404_17242v2_claim7,true,false,false,false,false,false,false,false,,
ext_2302_02278v2_claim1,true,false,false,false,false,false,false,false,,
ext_2302_02278v2_claim3,true,false,false,false,false,false,false,false,,
ext_2108_02099v2_claim1,true,false,false,false,false,false,false,false,,
ext_2108_02099v2_claim2,true,false,false,false,false,false,false,false,,
ext_2108_02099v2_claim3,true,false,false,false,false,false,false,false,,
ext_2108_02099v2_claim4,true,false,false,false,false,false,false,false,,
ext_2402_02585v1_claim1,true,false,false,false,false,false,false,false,,
ext_2402_02585v1_claim2,true,false,false,false,false,false,false,false,,
ext_2402_02585v1_claim3,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2402_02585v1_claim4,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2207_10555v1_claim1,true,false,false,false,false,false,false,false,,
ext_2207_10555v1_claim2,true,false,false,false,false,false,false,false,,
ext_2207_10555v1_claim3,true,false,false,false,false,false,false,false,,
ext_2207_10555v1_claim4,true,false,false,false,false,false,false,false,,
ext_2207_10555v1_claim5,true,false,false,false,false,false,false,false,,
ext_2003_08408v2_claim1,true,false,false,false,false,false,false,false,,
ext_2309_00047v1_claim1,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2309_00047v1_claim2,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2309_00047v1_claim3,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2309_00047v1_claim4,true,false,false,false,false,false,false,false,,
ext_2309_00047v1_claim5,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2112_03199v4_claim1,true,false,false,false,false,false,false,false,,
ext_2112_03199v4_claim2,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2112_03199v4_claim3,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2011_12191v4_claim1,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2011_12191v4_claim2,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2011_12191v4_claim3,true,false,false,false,false,false,false,false,,
ext_2011_12191v4_claim4,true,false,false,false,false,false,false,false,,
ext_2011_12191v4_claim5,true,true,true,true,true,true,false,false,T3,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2101_10296v3_claim1,true,false,false,false,false,false,false,false,,
ext_2101_10296v3_claim2,true,false,false,false,false,false,false,false,,
ext_2101_10296v3_claim3,true,false,false,false,false,false,false,false,,
ext_2101_10296v3_claim4,true,false,false,false,false,false,false,false,,
ext_2105_06240v2_claim1,true,false,false,false,false,false,false,false,,
ext_2105_06240v2_claim2,true,false,false,false,false,false,false,false,,
ext_2409_18963v3_claim1,true,false,false,false,false,false,false,false,,
ext_2409_18963v3_claim2,true,false,false,false,false,false,false,false,,
ext_2409_18963v3_claim3,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
ext_2102_06813v1_claim1,true,false,false,false,false,false,false,false,,
ext_2102_06813v1_claim2,true,true,true,false,false,false,false,false,,scalar-directional but outside planning-feasible set
