external_claim_id,circuit_size,repetition,qiskit_optimization_level,pytket_time_seconds,qiskit_time_seconds,outcome
ext_2202_14025v1_legacy_claim12,4,0,0,0.011783291993197054,0.031545542005915195,1
ext_2202_14025v1_legacy_claim12,4,0,1,0.009160500019788742,0.02445324999280274,1
ext_2202_14025v1_legacy_claim12,4,0,2,0.009052958979737014,0.0260956670390442,1
ext_2202_14025v1_legacy_claim12,4,0,3,0.00911120796808973,0.027035625011194497,1
ext_2202_14025v1_legacy_claim12,4,1,0,0.009576665994245559,0.026922916993498802,1
ext_2202_14025v1_legacy_claim12,4,1,1,0.009500291023869067,0.027463875012472272,1
ext_2202_14025v1_legacy_claim12,4,1,2,0.00902295799460262,0.03292191697983071,1
ext_2202_14025v1_legacy_claim12,4,1,3,0.009339709009509534,0.028578167024534196,1
ext_2202_14025v1_legacy_claim12,4,2,0,0.009698083042167127,0.02370108402101323,1
ext_2202_14025v1_legacy_claim12,4,2,1,0.00905570900067687,0.02519045799272135,1
ext_2202_14025v1_legacy_claim12,4,2,2,0.009191457997076213,0.028198041953146458,1
ext_2202_14025v1_legacy_claim12,4,2,3,0.009011500049382448,0.02804270898923278,1
ext_2202_14025v1_legacy_claim12,4,3,0,0.00929158297367394,0.025560792011674494,1
ext_2202_14025v1_legacy_claim12,4,3,1,0.010291291982866824,0.028929249965585768,1
ext_2202_14025v1_legacy_claim12,4,3,2,0.009451083024032414,0.02983429201412946,1
ext_2202_14025v1_legacy_claim12,4,3,3,0.009083334007300436,0.02674358297372237,1
ext_2202_14025v1_legacy_claim12,4,4,0,0.009076957998331636,0.02369829098461196,1
ext_2202_14025v1_legacy_claim12,4,4,1,0.009121750015765429,0.024594041984528303,1
ext_2202_14025v1_legacy_claim12,4,4,2,0.009113083011470735,0.02757612499408424,1
ext_2202_14025v1_legacy_claim12,4,4,3,0.009492958022747189,0.03044624999165535,1
ext_2202_14025v1_legacy_claim12,6,0,0,0.010659332969225943,0.027501208998728544,1
ext_2202_14025v1_legacy_claim12,6,0,1,0.009727416967507452,0.02801399998134002,1
ext_2202_14025v1_legacy_claim12,6,0,2,0.00985012500314042,0.02657924999948591,1
ext_2202_14025v1_legacy_claim12,6,0,3,0.009997375018429011,0.027569249970838428,1
ext_2202_14025v1_legacy_claim12,6,1,0,0.009730999998282641,0.024722957983613014,1
ext_2202_14025v1_legacy_claim12,6,1,1,0.009684959019068629,0.02581716701388359,1
ext_2202_14025v1_legacy_claim12,6,1,2,0.010667417023796588,0.02920229098526761,1
ext_2202_14025v1_legacy_claim12,6,1,3,0.01017012499505654,0.031227500003296882,1
ext_2202_14025v1_legacy_claim12,6,2,0,0.010283540992531925,0.02683258301112801,1
ext_2202_14025v1_legacy_claim12,6,2,1,0.009664624987635761,0.024666582990903407,1
ext_2202_14025v1_legacy_claim12,6,2,2,0.00980262499069795,0.027034333965275437,1
ext_2202_14025v1_legacy_claim12,6,2,3,0.009703541989438236,0.02767204202245921,1
ext_2202_14025v1_legacy_claim12,6,3,0,0.009751625009812415,0.023863834037911147,1
ext_2202_14025v1_legacy_claim12,6,3,1,0.01014445797773078,0.02577337500406429,1
ext_2202_14025v1_legacy_claim12,6,3,2,0.009790415992029011,0.031023249961435795,1
ext_2202_14025v1_legacy_claim12,6,3,3,0.010384624998550862,0.029158374993130565,1
ext_2202_14025v1_legacy_claim12,6,4,0,0.009814125020056963,0.024638500006403774,1
ext_2202_14025v1_legacy_claim12,6,4,1,0.010168708045966923,0.024978458997793496,1
ext_2202_14025v1_legacy_claim12,6,4,2,0.009883042017463595,0.026870833011344075,1
ext_2202_14025v1_legacy_claim12,6,4,3,0.009757291991263628,0.02761912503046915,1
ext_2202_14025v1_legacy_claim12,8,0,0,0.010424250038340688,0.02697166701545939,1
ext_2202_14025v1_legacy_claim12,8,0,1,0.011229249997995794,0.028164457995444536,1
ext_2202_14025v1_legacy_claim12,8,0,2,0.01095179095864296,0.027825500001199543,1
ext_2202_14025v1_legacy_claim12,8,0,3,0.01090204098727554,0.02757400000700727,1
ext_2202_14025v1_legacy_claim12,8,1,0,0.011064500024076551,0.02841012499993667,1
ext_2202_14025v1_legacy_claim12,8,1,1,0.010523249977268279,0.026987958000972867,1
ext_2202_14025v1_legacy_claim12,8,1,2,0.010468500026036054,0.027652083022985607,1
ext_2202_14025v1_legacy_claim12,8,1,3,0.010989375005010515,0.029301875038072467,1
ext_2202_14025v1_legacy_claim12,8,2,0,0.01077083294512704,0.02575058297952637,1
ext_2202_14025v1_legacy_claim12,8,2,1,0.011533416982274503,0.028029415989294648,1
