external_claim_id,n_qubits,removed_edges,random_seed,qiskit_optimization_level,input_cx_depth,qiskit_cx_depth,pytket_cx_depth,qiskit_overhead,pytket_overhead,outcome
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",8,1,17,16,16,0.9411764705882353,0.9411764705882353,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",8,2,17,12,16,0.7058823529411765,0.9411764705882353,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",8,3,17,12,16,0.7058823529411765,0.9411764705882353,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",9,0,19,32,16,1.6842105263157894,0.8421052631578947,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",9,1,19,16,16,0.8421052631578947,0.8421052631578947,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",9,2,19,15,16,0.7894736842105263,0.8421052631578947,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",9,3,19,15,16,0.7894736842105263,0.8421052631578947,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",10,0,18,30,18,1.6666666666666667,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",10,1,18,18,18,1.0,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",10,2,18,10,18,0.5555555555555556,1.0,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",10,3,18,10,18,0.5555555555555556,1.0,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",11,0,20,27,20,1.35,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",11,1,20,20,20,1.0,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",11,2,20,18,20,0.9,1.0,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",11,3,20,18,20,0.9,1.0,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",12,0,19,30,19,1.5789473684210527,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",12,1,19,19,19,1.0,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",12,2,19,18,19,0.9473684210526315,1.0,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",12,3,19,18,19,0.9473684210526315,1.0,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",13,0,21,23,20,1.0952380952380953,0.9523809523809523,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",13,1,21,20,20,0.9523809523809523,0.9523809523809523,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",13,2,21,12,20,0.5714285714285714,0.9523809523809523,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",13,3,21,12,20,0.5714285714285714,0.9523809523809523,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",14,0,18,26,18,1.4444444444444444,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",14,1,18,18,18,1.0,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",14,2,18,14,18,0.7777777777777778,1.0,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",14,3,18,14,18,0.7777777777777778,1.0,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",15,0,18,31,17,1.7222222222222223,0.9444444444444444,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",15,1,18,17,17,0.9444444444444444,0.9444444444444444,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",15,2,18,13,17,0.7222222222222222,0.9444444444444444,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",15,3,18,13,17,0.7222222222222222,0.9444444444444444,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",16,0,16,19,15,1.1875,0.9375,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",16,1,16,15,15,0.9375,0.9375,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",16,2,16,14,15,0.875,0.9375,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",16,3,16,14,15,0.875,0.9375,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",17,0,16,23,16,1.4375,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",17,1,16,16,16,1.0,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",17,2,16,16,16,1.0,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",17,3,16,16,16,1.0,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",18,0,25,30,25,1.2,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",18,1,25,25,25,1.0,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",18,2,25,20,25,0.8,1.0,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",18,3,25,20,25,0.8,1.0,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",19,0,20,29,20,1.45,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",19,1,20,20,20,1.0,1.0,0
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",19,2,20,11,20,0.55,1.0,1
ext_2202_14025v1_legacy_claim6,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",19,3,20,11,20,0.55,1.0,1
