external_claim_id,circuit,architecture_edges,qiskit_optimization_level,qiskit_seed,tket_2q_depth,qiskit_2q_depth,tket_cx_count,qiskit_cx_count,outcome
ext_2409_08844v2_claim4,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",1,4,12,10,12,13,0
ext_2409_08844v2_claim4,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",2,0,12,14,12,15,1
ext_2409_08844v2_claim4,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",2,1,12,14,12,15,1
ext_2409_08844v2_claim4,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",2,2,12,14,12,15,1
ext_2409_08844v2_claim4,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",2,3,12,14,12,15,1
ext_2409_08844v2_claim4,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",2,4,12,10,12,13,0
ext_2409_08844v2_claim4,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",3,0,12,14,12,15,1
ext_2409_08844v2_claim4,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",3,1,12,14,12,15,1
ext_2409_08844v2_claim4,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",3,2,12,14,12,15,1
ext_2409_08844v2_claim4,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",3,3,12,14,12,15,1
ext_2409_08844v2_claim4,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",3,4,12,10,12,13,0
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",0,0,9,15,11,19,1
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",0,1,9,17,11,22,1
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",0,2,9,15,11,19,1
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",0,3,9,15,11,19,1
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",0,4,9,17,11,22,1
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",1,0,9,9,11,13,0
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",1,1,9,8,11,13,0
ext_2409_08844v2_claim4,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",1,2,9,9,11,13,0
