external_claim_id,circuit,architecture_edges,qiskit_optimization_level,qiskit_seed,tket_cx_count,qiskit_cx_count,tket_depth,qiskit_depth,outcome
ext_2304_08814v2_claim5,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",1,4,12,13,13,18,1
ext_2304_08814v2_claim5,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",2,0,12,15,13,27,1
ext_2304_08814v2_claim5,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",2,1,12,15,13,27,1
ext_2304_08814v2_claim5,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",2,2,12,15,13,27,1
ext_2304_08814v2_claim5,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",2,3,12,15,13,26,1
ext_2304_08814v2_claim5,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",2,4,12,13,13,18,1
ext_2304_08814v2_claim5,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",3,0,12,15,13,27,1
ext_2304_08814v2_claim5,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",3,1,12,15,13,27,1
ext_2304_08814v2_claim5,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",3,2,12,15,13,27,1
ext_2304_08814v2_claim5,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",3,3,12,15,13,26,1
ext_2304_08814v2_claim5,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",3,4,12,13,13,18,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",0,0,11,19,9,29,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",0,1,11,22,9,32,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",0,2,11,19,9,34,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",0,3,11,19,9,29,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",0,4,11,22,9,36,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",1,0,11,13,9,18,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",1,1,11,13,9,17,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",1,2,11,13,9,19,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",1,3,11,13,9,19,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",1,4,11,13,9,18,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",2,0,11,13,9,16,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",2,1,11,13,9,17,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",2,2,11,13,9,17,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",2,3,11,13,9,18,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",2,4,11,13,9,16,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",3,0,11,13,9,16,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",3,1,11,13,9,17,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",3,2,11,13,9,17,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",3,3,11,13,9,18,1
ext_2304_08814v2_claim5,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",3,4,11,13,9,16,1
