external_claim_id,circuit,architecture_edges,qiskit_optimization_level,qiskit_seed,qiskit_cx_count,tket_cx_count,qiskit_2q_depth,tket_2q_depth,outcome
ext_2409_08844v2_claim3,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",1,4,13,12,10,12,0
ext_2409_08844v2_claim3,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",2,0,15,12,14,12,0
ext_2409_08844v2_claim3,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",2,1,15,12,14,12,0
ext_2409_08844v2_claim3,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",2,2,15,12,14,12,0
ext_2409_08844v2_claim3,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",2,3,15,12,14,12,0
ext_2409_08844v2_claim3,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",2,4,13,12,10,12,0
ext_2409_08844v2_claim3,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",3,0,15,12,14,12,0
ext_2409_08844v2_claim3,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",3,1,15,12,14,12,0
ext_2409_08844v2_claim3,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",3,2,15,12,14,12,0
ext_2409_08844v2_claim3,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",3,3,15,12,14,12,0
ext_2409_08844v2_claim3,linear_4_bidirectional_mix,"[(0, 1), (1, 2), (2, 3)]",3,4,13,12,10,12,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",0,0,19,11,15,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",0,1,22,11,17,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",0,2,19,11,15,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",0,3,19,11,15,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",0,4,22,11,17,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",1,0,13,11,9,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",1,1,13,11,8,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",1,2,13,11,9,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",1,3,13,11,9,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",1,4,13,11,9,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",2,0,13,11,9,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",2,1,13,11,8,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",2,2,13,11,9,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",2,3,13,11,9,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",2,4,13,11,9,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",3,0,13,11,9,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",3,1,13,11,8,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",3,2,13,11,9,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",3,3,13,11,9,9,0
ext_2409_08844v2_claim3,linear_4_repeated_remote,"[(0, 1), (1, 2), (2, 3)]",3,4,13,11,9,9,0
